from,https://tools.miku.ac/gpu_rank/,https://tools-api-cn.hazymoon.vip/gpu_rank,
,name,score,percentage
327,GeForce GTX 1050 with Max-Q Design,3961,15
328,GRID RTX8000-4Q,3961,15
329,Radeon Pro WX4100,3953,15
330,Quadro K5000,3943,15
331,GeForce GTX 750 Ti,3928,15
332,FirePro S9050,3912,15
333,Radeon RX 5300M,3889,15
334,GRID M60-8Q,3884,15
335,Quadro K2200M,3883,15
336,Radeon HD 8970M,3876,15
337,Radeon RX480,3858,14
338,FirePro W7170M,3849,14
339,GeForce GTX 570,3845,14
340,GRID RTX8000P-2Q,3843,14
341,GRID P100-8Q,3841,14
342,GRID M60-4Q,3831,14
343,Radeon HD 7850,3789,14
344,Radeon Pro WX 4100,3787,14
345,GeForce GTX 780M,3756,14
346,GeForce MX450,3732,14
347,Radeon Pro 560X,3678,14
348,Quadro P620,3666,14
349,Radeon HD 7970M,3619,14
350,Radeon RX 560,3606,14
351,T500,3600,14
352,Quadro M2000M,3574,13
353,GRID RTX8000-2Q,3574,13
354,GeForce GTX 680M KY_Bullet Edition,3569,13
355,GRID M6-8Q,3568,13
356,RX 560X,3553,13
357,Quadro K2200,3541,13
358,Tesla C2050,3515,13
359,Quadro 7000,3505,13
360,Tesla M10,3490,13
361,Radeon Pro 560,3475,13
362,T400,3474,13
363,GeForce GTX 960M,3463,13
364,FirePro W8000,3454,13
365,Radeon Pro 460,3453,13
366,Tesla C2050 / C2070,3428,13
367,Ryzen 9 5900HX with Radeon Graphics,3426,13
368,GeForce GTX 750,3408,13
369,GRID T4-4Q,3406,13
370,Radeon R9 M470X,3400,13
371,Quadro M1200,3382,13
372,Radeon HD8970M,3369,13
373,GeForce GTX 650 Ti BOOST,3368,13
374,Radeon E8870PCIe,3368,13
375,GeForce GTX 590,3366,13
376,Radeon RX Vega M GL,3361,13
377,GRID P40-2B,3354,13
378,GRID M10-1Q,3351,13
379,GeForce GTX 870M,3343,13
380,Radeon R9 M290X,3320,12
381,Quadro P600,3317,12
382,Radeon RX550,3313,12
383,Quadro K5100M,3280,12
384,GeForce 770M,3246,12
385,Radeon Pro 555X,3236,12
386,GRID M10-4Q,3224,12
387,GeForce GTX 470,3214,12
388,GRID K520,3177,12
389,RadeonT RX 5500M,3166,12
390,FirePro V7000 Adapter,3162,12
391,FirePro V7000,3162,12
392,Radeon Pro 555,3141,12
393,Radeon R7 260X,3139,12
394,Tesla C2075,3118,12
395,Radeon Pro 455,3113,12
396,Tesla C2070,3101,12
397,Radeon HD 7790,3090,12
398,Intel G35 Express,3090,12
399,GeForce GTX 560 Ti,3072,12
400,GeForce GTX 680M,3071,12
401,Radeon R7 360,3066,12
402,GeForce GTX 860M,3050,11
403,Radeon Ryzen 5 4600H,3049,11
404,Radeon R9 360,3032,11
405,Quadro M1000M,3018,11
406,Radeon R9 260,3018,11
407,Radeon Pro WX4150,3010,11
408,Radeon HD 6990,3004,11
409,FirePro W5100,2989,11
410,FirePro W5000,2983,11
411,Radeon Ryzen 7 PRO 5750GE,2969,11
412,Radeon R9 M380,2947,11
413,GRID K260Q,2941,11
414,Ryzen 7 5800H with Radeon Graphics,2929,11
415,Radeon RX460,2918,11
416,Radeon R7 260,2892,11
417,GeForce MX350,2884,11
418,Ryzen 7 PRO 4700G with Radeon Graphics,2880,11
419,Quadro K1200,2870,11
420,Radeon HD 6970,2859,11
421,Radeon Pro V340 MxGPU,2853,11
422,Intel Iris Xe,2851,11
423,Radeon Ryzen 7 5700G,2838,11
424,Quadro M620,2827,11
425,Radeon Pro W5500M,2822,11
426,Intel UHD P630,2813,11
427,FirePro 3D V9800,2812,11
428,Radeon Ryzen 5 PRO 5650GE,2793,10
429,Radeon RX540,2788,10
430,GeForce GTX 770M,2783,10
431,GRID K2,2774,10
432,Radeon RX 550,2746,10
433,FirePro W4300,2734,10
434,GeForce GTX 560,2729,10
435,FirePro V9800,2727,10
436,FirePro V9800 Adapter,2727,10
437,Radeon Pro 450,2723,10
438,Ryzen 9 4900H with Radeon Graphics,2714,10
439,Radeon Ryzen 7 PRO 4750G with,2714,10
440,Ryzen 7 5700G with Radeon Graphics,2708,10
441,GRID T4-1Q,2703,10
442,Barco MXRT 5500,2702,10
443,Quadro K4000,2698,10
444,Quadro K5000M,2693,10
445,Radeon Ryzen 7 5800H,2689,10
446,GeForce GTX 465,2679,10
447,Ryzen 7 Pro 4750G with Radeon Graphics,2678,10
448,Ryzen 7 5700GE with Radeon Graphics,2675,10
449,Radeon HD 6950,2674,10
450,Quadro 6000,2662,10
451,Radeon Ryzen 7 4700GE,2662,10
452,FirePro M6100 FireGL V,2656,10
453,GRID M10-2Q,2654,10
454,FirePro R5000,2647,10
455,Ryzen 5 5600G with Radeon Graphics,2638,10
456,MONSTER GeForce GTX 675M,2637,10
457,Radeon Ryzen 7 PRO 4750GE with,2626,10
458,Radeon Ryzen 5 5600G,2625,10
459,GeForce GTX 950M,2623,10
460,Radeon Ryzen 7 PRO 4750G,2620,10
461,Ryzen 7 PRO 5750GE with Radeon Graphics,2613,10
462,Radeon Pro WX 3100,2608,10
463,GRID M10-8Q,2606,10
464,Ryzen 5 5600GE with Radeon Graphics,2602,10
465,GeForce GTX 850M,2596,10
466,Ryzen 7 PRO 5750G with Radeon Graphics,2591,10
467,GeForce GT 1030,2586,10
468,Quadro K4100M,2584,10
469,GRID K240Q,2578,10
470,GeForce MX330,2578,10
471,GeForce GTX 650 Ti,2556,10
472,Ryzen 7 PRO 4750GE with Radeon Graphics,2550,10
473,GeForce MX250,2543,10
474,GeForce GTX 950A,2539,10
475,Radeon HD 6850 X2,2534,10
476,Radeon Pro WX 3200,2534,10
477,Ryzen 9 5980HS with Radeon Graphics,2534,10
478,FirePro W5100 Adapter,2531,9
479,FireStream 9370,2528,9
480,N18E-Q1,2525,9
481,Ryzen 5 PRO 5650GE with Radeon Graphics,2518,9
482,Ryzen 5 PRO 5650G with Radeon Graphics,2513,9
483,Radeon Ryzen 7 4700GE with,2496,9
484,Ryzen 7 4700GE with Radeon Graphics,2496,9
485,Ryzen 7 PRO 5850U with Radeon Graphics,2464,9
486,FirePro 3D V8800,2438,9
487,Radeon Ryzen 5 PRO 4650G,2427,9
488,Ryzen 5 5600H with Radeon Graphics,2418,9
489,Ryzen 7 5800U with Radeon Graphics,2416,9
490,GeForce GTX 960A,2411,9
491,Radeon RX Vega 11 PRD,2402,9
492,P106-090,2402,9
493,Radeon Ryzen 3 4300GE with,2402,9
