from,https://tools.miku.ac/gpu_rank/,https://tools-api-cn.hazymoon.vip/gpu_rank,
,name,score,percentage
1317,Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,575,2
1318,GeForce GT 735M,573,2
1319,FirePro V7750,572,2
1320,Radeon R5 330,572,2
1321,Radeon R6 M255DX,572,2
1322,Radeon HD 3870,571,2
1323,Radeon R6 + R7 M265DX Dual,571,2
1324,GeForce GTS 250M,569,2
1325,Radeon HD 7560D + 6450 Dual,569,2
1326,GeForce 820A,568,2
1327,Radeon 6600M,566,2
1328,Radeon HD 6610M,565,2
1329,Radeon HD 7650A,564,2
1330,GeForce GT 635M,563,2
1331,Radeon HD 7560D + R5 235 Dual,563,2
1332,Quadro FX 5600,562,2
1333,Radeon R7 A10 PRO-7800B,562,2
1334,Radeon R7 M360,562,2
1335,Radeon R6 A8-8600P,560,2
1336,Radeon HD 7640G + R5 M200 Dual,559,2
1337,Radeon HD 8550G + HD 8500M Dual,559,2
1338,Radeon HD 7640G + 8570M Dual,558,2
1339,Intel HD 5000,558,2
1340,Radeon HD 7640G + 8670M Dual,558,2
1341,Radeon HD 7600G + HD 7500M/7600M Dual,555,2
1342,GF117,554,2
1343,GeForce 615,552,2
1344,Radeon R7 7850A10-7850K,551,2
1345,FireGL V8650,550,2
1346,GeForce GT 240,549,2
1347,Radeon R5 M335,549,2
1348,Mobility Radeon HD 3870,548,2
1349,Quadro 600,547,2
1350,Mobility Radeon HD 5570,547,2
1351,FirePro 3D V5700,547,2
1352,Radeon HD 8550G + HD 8670M Dual,546,2
1353,Radeon HD 8450G + 8600M Dual,545,2
1354,FirePro 3D V7750,545,2
1355,Radeon HD 7520G + HD 7400M Dual,545,2
1356,GeForce GT 630M,544,2
1357,Radeon HD 7600G + HD 8670M Dual,544,2
1358,Quadro FX 2700,543,2
1359,Radeon HD 7520G + 7470M Dual,543,2
1360,Radeon HD 8670D,540,2
1361,Radeon R7 M265DX,540,2
1362,"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",539,2
1363,GeForce 9800 GTX+,538,2
1364,GeForce GT620M,538,2
1365,Radeon R6 PRO A10-8700B 4C+6G,538,2
1366,KV SPECTRE LITE MOBILE 25W,538,2
1367,NVS 5200M,537,2
1368,Mobility Radeon HD su00e9rieu00a05000,536,2
1369,Radeon HD 7560D + HD 7000 Dual,534,2
1370,GRID K180Q,534,2
1371,Radeon HD 8550G + 8570M Dual,533,2
1372,RADEON HD6530D,532,2
1373,Radeon R6 PRO A8-8600B 4C+6G,532,2
1374,Radeon HD su00e9rieu00a04600,530,2
1375,Radeon HD 8550G + HD 8570M Dual,529,2
1376,Radeon HD 7640G + 6400M Dual,527,2
1377,Radeon HD 8650D,526,2
1378,Radeon HD 7600G N HD 7600G + HD ON HD Dual,526,2
1379,"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",524,2
1380,Radeon HD 7660D + R5 235 Dual,524,2
1381,Radeon HD 7520G + 7670M Dual,523,2
1382,GeForce GT 435M,521,2
1383,GeForce GT 425M,521,2
1384,Intel HD 4400,521,2
1385,Radeon HD 8670M,520,2
1386,MCT USB3.0 External Device,520,2
1387,Radeon HD 7640G + HD 7670M Dual,519,2
1388,GeForce 8800 GT,517,2
1389,Radeon R5 240,517,2
1390,IncrediblE HD 4000,517,2
1391,Radeon HD 7660D,516,2
1392,Intel HD P4000,516,2
1393,GeForce 820M,514,2
1394,A10-8700P,514,2
1395,Mobility Radeon HD 4830,512,2
1396,Radeon HD 7640G + 7610M Dual,510,2
1397,Radeon HD 7620G + 8600M Dual,509,2
1398,Radeon HD 7600G + HD 7550M Dual,509,2
1399,Radeon R5 PRO A6-8500B 2C+4G,508,2
1400,Radeon HD 7670M,507,2
1401,Radeon HD 7620G + HD 8670M Dual,507,2
1402,GeForce GT625M,507,2
1403,"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",507,2
1404,Radeon HD 8450G + HD 8750M Dual,504,2
1405,GeForce GTS 150M,504,2
1406,Radeon R5 M255,501,2
1407,Quadro FX 3700M,499,2
1408,Radeon HD 8650G,498,2
1409,SUMO 964A,498,2
1410,TRINITY SCRAPPER MOBILE,498,2
1411,Radeon HD 7500G + 7550M Dual,497,2
1412,Radeon HD 6570,496,2
1413,GeForce 9600 GT,496,2
1414,ASUS EAH4870x2,496,2
1415,Radeon HD 7520G + HD 7670M Dual,495,2
1416,Mobility Radeon HD 5730,492,2
1417,GeForce GT 540M,491,2
1418,Radeon R6 A10-8700P,491,2
1419,Radeon HD8530M,490,2
1420,Radeon HD 8670D N HD 8670D + HD 8670D Dual,489,2
1421,Radeon HD 8550G + R5 M230 Dual,488,2
1422,Radeon HD 7520G + 7400M Dual,487,2
1423,Radeon R4E,487,2
1424,GeForce GTX 260M,486,2
1425,Radeon HD 8610G + HD 8600M Dual,481,2
1426,Quadro K500M,480,2
1427,Radeon HD 7660G,479,2
1428,GeForce 9800 GT,479,2
1429,Mobility Radeon HD 5000 Serisi,479,2
1430,Radeon R5 M420,479,2
1431,Mobility Radeon HD 3870 X2,478,2
1432,Radeon HD 5570,476,2
1433,Quadro FX 1800M,476,2
1434,Radeon R5 M315,476,2
1435,Radeon HD 7560D,475,2
1436,Radeon HD 8450G + 8670M Dual,475,2
1437,Radeon HD 7640G + HD 8570M Dual,475,2
1438,FirePro 3D V3800,472,2
1439,Radeon HD 8570D + R5 235 Dual,471,2
1440,Radeon HD 7600G + 8500M/8700M Dual,470,2
1441,Radeon HD 8690A,469,2
1442,GeForce 710A,468,2
1443,GeForce 800M,468,2
1444,Quadro FX 3600M,467,2
1445,Radeon HD 7660D + 7470 Dual,466,2
1446,SUMO 9644,466,2
1447,FirePro V5700,465,2
1448,Radeon HD 7550M,465,2
1449,GeForce GT 720M,463,2
1450,Mobility Radeon HD 4670,463,2
1451,GeForce 8800M GTX,462,2
1452,GeForce 9800M GTX,462,2
1453,GeForce 9800M GS,460,2
1454,Radeon HD 7660G + HD 7600M N HD 7600M Dual,460,2
1455,GeForce GT 525M,456,2
1456,GeForce 705M,456,2
1457,Mobility Radeon HD 5650,455,2
1458,Radeon Vega 2,455,2
1459,Radeon HD 7650M,454,2
1460,Intel HD Family,454,2
1461,Radeon HD 7520G + 7650M Dual,453,2
1462,Radeon HD 8450G + HD 8600M Dual,452,2
1463,HIS DIGITAL HD 4650 AGP,452,2
1464,Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,452,2
1465,Radeon HD 7570M,449,2
1466,GeForce GT 320,447,2
1467,Radeon HD 7520G + HD 7600M Dual,447,2
1468,Radeon HD 7660G + 8600M Dual,446,2
1469,GeForce 610,445,2
1470,GeForce GT 710M,445,2
1471,Radeon R7 M260,445,2
1472,PHDGD Ivy 5,445,2
1473,GeForce 8800 GTS,444,2
1474,GeForce 710M,444,2
1475,"Radeon R7 A10-7700K Radeon R7, 10 Compute Cores 4C",444,2
1476,Radeon HD 7640G,443,2
1477,Radeon HD 8350G,443,2
1478,Radeon HD 7620G + HD 8600M Dual,443,2
1479,Radeon HD 8570D,440,2
1480,Radeon HD 3850,438,2
1481,Quadro FX 4600,437,2
1482,GeForce GT 625M,435,2
1483,Radeon HD 8410G,435,2
1484,Radeon HD 7600G + HD Dual,435,2
1485,GeForce GT 620M,434,2
1486,Radeon HD 3850 AGP,432,2
1487,Radeon HD 8570M,432,2
1488,Radeon R5 M240,432,2
1489,Quadro 410,430,2
1490,GeForce 800A,428,2
1491,GeForce 9800M GT,424,2
1492,Radeon HD 7640G + HD 7500/7600 Dual,424,2
1493,Radeon HD 7600G + 7550M Dual,423,2
1494,RADEON HD6410D,423,2
1495,Radeon HD 7640G N HD 7640G + HD 8570M Dual,423,2
1496,Radeon R5 M320,421,2
1497,Intel 4th Generation Haswell HD,420,2
1498,GeForce GT 420M,418,2
1499,Radeon HD 6550D,417,2
1500,Quadro FX 2800M,415,2
1501,Radeon R5 Opteron X3216,414,2
1502,GeForce GTS 350M,408,2
1503,Radeon HD 7470M,408,2
1504,Radeon HD 7640G + HD 7600M N HD 7600M Dual,407,2
1505,Radeon HD 7600G + 7500M/7600M Dual,406,2
1506,Quadro FX 1800,405,2
1507,RADEON E4690,405,2
1508,GeForce GT 420,403,2
1509,FirePro M2000,401,2
1510,Radeon HD 8610G,401,2
1511,Mobility Radeon HD 4650,401,2
1512,"Radeon R7 A8 PRO-7600B R7, 10 Compute Cores 4C+6G",399,1
1513,GeForce 810M,398,1
1514,Radeon HD 8550G,395,1
1515,Radeon HD 8500M,395,1
1516,GeForce GT 335M,394,1
1517,GeForce GT 330,391,1
1518,Radeon HD 7600G + 7450M Dual,390,1
1519,IncrediblE HD,389,1
1520,Quadro FX 3700,388,1
1521,GeForce 7900 GTX,388,1
1522,Radeon R5 M230,388,1
1523,Intel HD 5300,385,1
1524,Radeon HD 5550,384,1
1525,Radeon HD 4670,382,1
1526,GeForce 8800M GTS,382,1
1527,GeForce 9800M GTS,379,1
1528,VisionTek Radeon HD 2600 XT,378,1
1529,Radeon HD 6490M,378,1
1530,Radeon HD 7520G + 8750M Dual,377,1
1531,Radeon HD 7600G + 6400M Dual,377,1
1532,Quadro FX 2700M,376,1
1533,GeForce GT 130,376,1
1534,VirtualBox Adapter for Windows 8+,375,1
1535,PHDGD Ivy 4,374,1
1536,Intel UHD 605,374,1
1537,Radeon HD 8570D + HD8490 Dual,374,1
1538,Radeon HD 8510G,372,1
1539,GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,369,1
1540,Matrox Millennium P690 PCIe x16,367,1
1541,Mobility Radeon HD 3850,366,1
1542,Radeon HD4670,366,1
1543,Radeon HD 8470D,365,1
1544,Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,365,1
1545,Radeon HD 7660G + HD 8600M Dual,364,1
1546,Radeon HD 6620G,361,1
1547,Radeon HD 7620G,361,1
1548,GeForce GT 620,358,1
1549,Radeon HD 7500G + HD 7500M/7600M Dual,356,1
1550,GeForce 9600 GSO,353,1
1551,Mobility Radeon HD 565v,353,1
1552,Radeon HD 6480M,353,1
1553,Radeon HD 8450G,352,1
1554,GeForce GT 705,352,1
1555,Radeon HD 7580D,351,1
1556,Intel HD 505,349,1
1557,GeForce 9600 GSO 512,345,1
1558,GeForce 7950 GT,344,1
1559,FireGL V5600,341,1
1560,FirePro V3750,341,1
1561,FirePro 3D V3750,341,1
1562,Radeon HD 8310E,341,1
1563,Radeon HD 7660D + HD 7400 Dual,340,1
1564,Radeon HD 8570D + HD 8470 Dual,338,1
1565,Qualcomm Adreno 680 GPU,337,1
1566,FirePro RG220,335,1
1567,Radeon HD 7540D,334,1
1568,GeForce 8800 GS,332,1
1569,FirePro V3800,332,1
1570,Intel HD 4000,332,1
1571,Radeon R5 310,332,1
1572,GeForce 9600 GS,330,1
1573,Radeon HD 7500G,330,1
1574,Radeon R4,330,1
1575,Radeon HD 7450M,330,1
1576,Intel UHD 600,329,1
1577,Radeon HD 7600G + HD 7400M Dual,329,1
1578,GeForce 9700M GTS,326,1
1579,GeForce GT 120 / 9500 GT,325,1
1580,GeForce GT 230,324,1
1581,Radeon E6460,324,1
1582,Radeon HD 7600G,323,1
1583,GeForce GT 625,323,1
1584,Radeon HD 7520G,322,1
1585,Radeon HD 6530D,321,1
1586,RADEON HD6370D,320,1
1587,GeForce 240M GT,320,1
1588,Radeon HD 8280,319,1
1589,Mobility Radeon HD 560v,318,1
1590,Radeon HD 7470,316,1
1591,Quadro FX 3500,315,1
1592,Radeon HD 7520G + 8600/8700M Dual,311,1
1593,Radeon HD 6520G,309,1
1594,GeForce 605,309,1
1595,Radeon E,308,1
1596,Quadro FX 3500M,306,1
1597,Radeon HD 8370D,305,1
1598,Radeon R3,303,1
1599,Radeon R5 235,302,1
1600,Radeon R1E,301,1
1601,Radeon HD 7420G,300,1
1602,GeForce GT 610,300,1
1603,Radeon R5E,300,1
1604,Intel HD 500,298,1
1605,GeForce GT 520MX,296,1
1606,NVS 315,296,1
1607,Radeon R5 235X,295,1
1608,Radeon HD 8400E,294,1
1609,Intel HD P3000,294,1
1610,GeForce GT 520,293,1
1611,Radeon HD 7400G,293,1
1612,GeForce 9600M GT / GeForce GT 220M,293,1
1613,GRID K120Q,293,1
1614,Radeon HD 2900 GT,292,1
1615,GeForce 7900 GS,292,1
1616,GeForce 7800 GTX,291,1
1617,IncrediblE HD 3000,291,1
1618,GeForce 610M,290,1
1619,Radeon HD 7450A,288,1
1620,GeForce 7950 Xtreme,288,1
1621,GeForce GT 415M,286,1
1622,Mobile Intel HD,285,1
1623,Radeon HD 7480D,284,1
1624,Mobility Radeon HD 5165,284,1
1625,Radeon HD 2600 XT,283,1
1626,GeForce GT 520M,281,1
1627,VisionTek Radeon 4550,280,1
1628,Radeon HD 6370M,276,1
1629,Radeon HD 6370D,270,1
1630,Radeon HD 8280G,270,1
1631,GeForce 9650M GS,270,1
1632,GeForce Go 7900 GTX,270,1
1633,Radeon HD 8490,269,1
1634,Radeon HD 5470,268,1
1635,GeForce GT 120M,266,1
1636,Mobility Radeon HD 550v,266,1
1637,EAH6450,265,1
1638,Qualcomm Adreno 630 GPU,265,1
1639,GeForce Go 7950 GTX,264,1
1640,Radeon HD8490,263,1
1641,Wine Display Adapter,262,1
1642,Radeon HD 8280E,260,1
1643,Radeon HD 6450A,260,1
1644,Radeon HD 8470,259,1
1645,GeForce 7900 GT,258,1
1646,Intel HD 3000,257,1
1647,Radeon HD 6480G,256,1
1648,Radeon HD 8400,255,1
1649,NVS 4200M,255,1
1650,Quadro NVS 510M,254,1
1651,GeForce 510,253,1
1652,Radeon HD 8330,252,1
1653,IGFX,251,1
1654,Radeon HD 7640G + 8600M Dual,250,1
1655,GeForce 410M,248,1
1656,GeForce GT 415,248,1
1657,GeForce 7900 GT/GTO,247,1
1658,CARRIZO 9874,247,1
1659,NVS 310,244,1
1660,GeForce 7800 GT,244,1
1661,Quadro FX 5500,242,1
1662,Radeon HD 8330E,241,1
1663,Radeon HD 8240,241,1
1664,Quadro FX 4500,241,1
1665,Radeon HD4650,240,1
1666,Radeon R2,239,1
1667,Radeon HD 7640G + R5 M230 Dual,239,1
1668,Radeon HD 4550,236,1
1669,Mobility Radeon HD 5470,236,1
1670,Quadro FX 4500 X2,236,1
1671,KB 2C,235,1
1672,Mobility Radeon HD 3670,232,1
1673,Radeon E6465,231,1
1674,Radeon R2E,229,1
1675,Radeon HD 7450,228,1
1676,Radeon HD 6410D,227,1
1677,Quadro FX 880M,227,1
1678,Quadro NVS 290,225,1
1679,Radeon HD 6470M,224,1
1680,GT 430,223,1
1681,Radeon R5 230,222,1
1682,Radeon HD 7340M,221,1
1683,HD6450,221,1
1684,Radeon HD 4650,220,1
1685,A6 Micro-6500T Quad-Core APU with RadeonR4,220,1
1686,Mobility FireGL V5725,219,1
1687,Quadro FX 2500M,218,1
1688,GeForce 9700M GT,217,1
1689,Radeon HD 6320 Graphic,216,1
1690,GeForce GT 330M,215,1
1691,Mobility Radeon. HD 5470,215,1
1692,Mobility Radeon HD 5450,214,1
1693,Intel HD 2000,213,1
1694,Intel 2nd Generation SandyBridge HD,212,1
1695,WinFast GT 610,212,1
1696,Radeon HD 2600 PRO,211,1
1697,GeForce Go 7800 GTX,210,1
1698,GeForce Go 7600 GT,210,1
1699,GeForce GT 240M,208,1
1700,Radeon HD 4650 AGP,208,1
1701,Radeon HD 8250,207,1
1702,GeForce GT 220,206,1
1703,Radeon R3E,206,1
1704,Barco MXRT 1450,206,1
1705,Intel 2nd Generation SandyBridge HD 3000,205,1
1706,GeForce 7600 GT,204,1
1707,Radeon HD 2600 XT AGP,203,1
1708,GeForce 320M,202,1
1709,GeForce 7950 GX2,202,1
1710,GeForce GT 230M,200,1
1711,Mobility Radeon HD 545v,200,1
1712,GeForce G200,200,1
1713,Radeon HD 6450,199,1
1714,RADEON HD7450,199,1
1715,Quadro FX 770M,198,1
1716,Radeon HD 6320M,198,1
1717,NVS 5100M,197,1
1718,Radeon HD 6380G,197,1
1719,Radeon HD 7340G,196,1
1720,GeForce 6800 GS,195,1
1721,Intel Infoshock HD,194,1
1722,Radeon HD 8210E,194,1
1723,Radeon HD 7350,193,1
1724,Radeon HD 6430M,193,1
1725,Radeon HD 8210,192,1
1726,Mobility Radeon HD 2600 XT,192,1
1727,FirePro V3700,191,1
1728,Mobility Radeon HD 4550,191,1
1729,GeForce 305M,191,1
1730,Mobility Radeon HD 540v,188,1
1731,GeForce 505,187,1
1732,Quadro FX 1600M,186,1
1733,Quadro FX 380,186,1
1734,Intel Q965/Q963 Express,182,1
1735,Mobility Radeon HD 5430,181,1
1736,Radeon HD 7310G,181,1
1737,Quadro FX 1700M,180,1
1738,GeForce GT 120,180,1
1739,FireGL V3600,180,1
1740,Barco MXRT 7100,180,1
1741,FirePro 3D V3700,179,1
1742,Radeon HD 6230,179,1
1743,GeForce 7800 GS,177,1
1744,GeForce Go 7900 GS,176,1
1745,Mobility Radeon HD 530v,175,1
1746,Quadro FX 1500,175,1
1747,Radeon HD 7310 - Carte graphique,174,1
1748,Quadro FX 1500M,171,1
1749,GeForce GT 325M,170,1
1750,FirePro 2460,170,1
1751,Intel Q35 Express,170,1
1752,Radeon HDG 4670,170,1
1753,Mobility Radeon HD 2600,168,1
1754,Radeon HD 8350,167,1
1755,Radeon HD 7310M,166,1
1756,MSI NX6800GS,166,1
1757,Intel HD manual-gen9_2015-133271,165,1
1758,GeForce 315,163,1
1759,VIA/S3G C-645/640 GPU,163,1
1760,Quadro NVS 320M,160,1
1761,GeForce 8600 GTS,158,1
1762,Radeon HD 7340,158,1
1763,GeForce 9500 GS,157,1
1764,GeForce 9200M GE,157,1
1765,Radeon HD 4300/4500 Serisi,156,1
1766,GeForce 7600 GS,155,1
1767,GeForce 8200,153,1
1768,Radeon HD 8180,152,1
1769,Radeon X1950 CrossFire Edition,151,1
1770,Quadro 400,150,1
1771,FirePro 2270,150,1
1772,Radeon HD 3650 AGP,150,1
1773,GeForce 8600GS,150,1
1774,Radeon HD 3670,149,1
1775,Radeon HD 6320,149,1
1776,VisionTek Radeon 4350,149,1
1777,Quadro FX 3450,149,1
1778,GeForce Go 7700,148,1
1779,Mobility Radeon HD 4350,148,1
1780,Radeon HD 6300M,147,1
1781,ZX Chrome 645/640 GPU,147,1
1782,Radeon X1900 GT,146,1
1783,GeForce GT 130M,145,1
1784,GeForce 9650M GT,145,1
1785,S3 5400EW,145,1
1786,Intel Q45/Q43 Express Chipset,144,1
1787,Quadro FX 580,143,1
1788,HD,143,1
1789,GeForce 6800 GT,142,1
1790,RADEON HD 6350,141,1
1791,Radeon HD 4290,141,1
1792,Radeon X1800 GTO,141,1
1793,EG PARK,141,1
1794,Radeon HD 6290M,140,1
1795,nForce 760i SLI,140,1
1796,GeForce 9200,140,1
1797,NVS 2100M,139,1
1798,GeForce 6800 Ultra,139,1
1799,Intel Haswell HD - GT2,139,1
1800,Radeon HD 5450,138,1
1801,GeForce Go 6800 Ultra,138,1
1802,GeForce 7300 GT,138,1
1803,Quadro FX 380 LP,137,1
1804,Radeon X1900 CrossFire Edition,137,1
1805,GeForce 9500 GT,135,1
1806,Mobility Radeon HD 4330,135,1
1807,Mobility Radeon X1900,135,1
1808,Quadro FX 3450/4000 SDI,135,1
1809,Radeon R5 220,135,1
1810,GeForce 7650 GS,134,1
1811,GeForce 9800 GT 1024MB,134,1
1812,EAH5450,134,1
1813,Mobility Radeon HD 4570,133,0
1814,GeForce 9600M GT,132,0
1815,GeForce 8400 GS,132,0
1816,GeForce G100,132,0
1817,MOBILITY RADEON X1800,130,0
1818,RADEON X800 SE,130,0
1819,Radeon HD 7310,129,0
1820,GeForce 9300 / nForce 730i,129,0
1821,GeForce Go 7600,128,0
1822,GeForce 6800 XT,128,0
1823,FireGL V7300,128,0
1824,Mobility Radeon HD 3650,127,0
1825,Radeon HD 3300,127,0
1826,All-in-Wonder X1900,127,0
1827,GeForce 9300,127,0
1828,GeForce 205,126,0
1829,GeForce 8700M GT,125,0
1830,GeForce G210M,125,0
1831,Seria Mobility Radeon HD 3400,125,0
1832,Quadro FX 380M,124,0
1833,Quadro FX 1400,124,0
1834,M76M,124,0
1835,GeForce 405,123,0
1836,Radeon HD 4250,123,0
1837,Intel Haswell HD - GT1,123,0
1838,Matrox G200e WDDM 2.0,123,0
1839,Radeon HD 7290M,123,0
1840,GeForce 310,122,0
1841,Quadro FX 570M,122,0
1842,Radeon HD 6310,122,0
1843,GeForce 9500M G,122,0
1844,GeForce GT 220M,121,0
1845,Radeon HD 2400,121,0
1846,Extreme AX850 PRO,120,0
1847,Qualcomm Adreno 540 GPU,120,0
1848,Qualcomm Adreno 618 GPU,120,0
1849,GeForce 9600M GS,119,0
1850,GeForce 9400,119,0
1851,Radeon HD 2400 XT,119,0
1852,RV530 PRO,119,0
1853,GeForce 8600 GT,118,0
1854,GeForce 315M,118,0
1855,Quadro FX 1700,118,0
1856,FireMV 2260,117,0
1857,Mobile Intel 45 Express-Chipsatzfamilie,117,0
1858,Radeon X1700 Targa Edition,117,0
1859,PHDGD Quantic C3,117,0
1860,Radeon X1600 XT,116,0
1861,FireGL V7200,116,0
1862,NVS 3100M,115,0
1863,Radeon HD 7290,115,0
1864,Quadro FX 570,115,0
1865,FireGL V5200,115,0
1866,GeForce Go 7800,115,0
1867,Quadro FX 560,114,0
1868,Radeon HD 2400 Pro,114,0
1869,NVS 300,113,0
1870,Sapphire RADEON X800 GT,113,0
1871,FirePro 2260,113,0
1872,GeForce 6800,113,0
1873,Radeon X1950 Pro,113,0
1874,GeForce 310M,112,0
1875,Radeon HD 4200,112,0
1876,Intel HD Modded,112,0
1877,FireGL V7350,111,0
1878,GeForce 6600 GT,111,0
1879,Mobility Radeon HD 3400 Serisi,111,0
1880,Radeon HD 2600 Pro AGP,110,0
1881,Radeon HD 4270,110,0
1882,VIA/S3G Chrome 645/640 GPU,110,0
1883,GeForce 6800 LE,110,0
1884,XFX Radeon HD 4650 AGP,110,0
1885,GeForce G105M,109,0
1886,Radeon HD 4330,109,0
1887,Radeon HD 6290,109,0
1888,GeForce GT 320M,108,0
1889,Quadro FX 370 LP,108,0
1890,Radeon Infoshock 3000,107,0
1891,GeForce 8500 GT,106,0
1892,Radeon X1950 GT,106,0
1893,GeForce Go 6800,106,0
1894,GeForce9400M,106,0
1895,Mobility Radeon X1700,105,0
1896,GeForce 9450,105,0
1897,GeForce 9500M GS,104,0
1898,GeForce G210,104,0
1899,GeForce 9500M,104,0
1900,M880G with Mobility Radeon HD 4250,104,0
1901,Quadro FX 3400/4400,104,0
1902,Radeon HD 4350,103,0
1903,FireGL V3400,103,0
1904,GeForce 6800 GS/XT,103,0
1905,Quadro FX 370 Low Profile,103,0
1906,Quadro FX Go1400,102,0
1907,Mobility Radeon HD 2400 XT,102,0
1908,Intel G33/G31 Express,102,0
1909,Intel Media Accelerator HD,101,0
1910,Quadro FX 4000,101,0
1911,GeForce 9200M GS,100,0
1912,Radeon X1600 Pro,99,0
1913,RADEON X800 XT,98,0
1914,Radeon 3000,98,0
1915,ION LE,98,0
1916,Mobility Radeon HD 4250,98,0
1917,Mobility Radeon HD 3430,98,0
1918,GeForce 8400M GS,98,0
1919,GeForce 9300GE,98,0
1920,GeForce 210,97,0
1921,Quadro NVS 130M,97,0
1922,Mobility Radeon HD serie 4200,97,0
1923,Radeon HD 3000,96,0
1924,Radeon HD 3450,95,0
1925,GeForce 6700 XL,95,0
1926,MEDION RADEON X740XL,95,0
1927,Radeon HD 6250,94,0
1928,Mobility Radeon HD 3470 Hybrid X2,94,0
1929,Matrox G200eW3 WDDM 2.0,94,0
1930,GeForce 8600 GS,93,0
1931,GeForce G102M,93,0
1932,Quadro NVS 150M,93,0
1933,M880G with Mobility Radeon HD 4200,93,0
1934,Mobility Radeon HD 3470,93,0
1935,Mobility Radeon HD 4270,93,0
1936,Quadro FX 370M,93,0
1937,FireGL V5100,93,0
1938,GeForce 8300,92,0
1939,GeForce G205M,92,0
1940,Mobility Radeon X1600,92,0
1941,nForce 780a SLI,92,0
1942,RADEON X600XT,92,0
1943,GeForce 9300M GS,91,0
1944,Mobility Radeon HD 4200,91,0
1945,Mobility Radeon HD 3450,91,0
1946,ASUS Extreme AX600XT-TD,91,0
1947,GeForce 9400 GT,90,0
1948,GeForce 8600M GT,90,0
1949,Radeon HD 3470,90,0
1950,Mobility Radeon HD 2400,90,0
1951,GeForce 6610 XL,89,0
1952,GeForce 9400M,88,0
1953,ION,88,0
1954,GeForce 6600,88,0
1955,Quadro FX 360M,87,0
1956,Radeon X1300PRO,87,0
1957,Quadro FX 350,86,0
1958,GeForce 9300M G,85,0
1959,Radeon X1650 Pro,85,0
1960,FireGL V3200,85,0
1961,Quadro FX 370,84,0
1962,RADEON X800 GT,84,0
1963,ALL-IN-WONDER X800 GT,84,0
1964,Radeon X1300 PRO,84,0
1965,GeForce 999 GTX,84,0
1966,nForce 750a SLI,83,0
1967,nForce 980a/780a SLI,82,0
1968,GeForce 9100,82,0
1969,Radeon HD 3200,82,0
1970,MOBILITY FireGL V5000,82,0
1971,RADEON X850 XT Platinum Edition,82,0
1972,Mobility Radeon X2500,82,0
1973,GeForce 9300 SE,82,0
1974,Quadro FX 540,81,0
1975,Quadro NVS 420,81,0
1976,GeForce 8400,81,0
1977,Mobility Radeon 4100,81,0
1978,RADEON X850 XT,81,0
1979,RADEON X800 XT Platinum Edition,81,0
1980,RADEON X800GT,80,0
1981,GeForce 7300 GS,80,0
1982,GeForce 8100 / nForce 720a,79,0
1983,Intel - Express Chipset G45/G43,79,0
1984,GeForce 8600M GS,78,0
1985,Radeon HD 2350,77,0
1986,RADEON X800 GTO,77,0
1987,Quadro NVS 295,76,0
1988,Quadro NVS 160M,76,0
1989,RADEON X700 PRO,76,0
1990,M860G with Mobility Radeon 4100,76,0
1991,Radeon X1650 GTO,75,0
1992,Intel G41 Express Chipset,75,0
1993,GeForce 9100M G,74,0
1994,Radeon 3100,74,0
1995,GeForce 7350 LE,74,0
1996,Sapphire RADEON X1600 PRO,74,0
1997,FireMV 2450,74,0
1998,RADEON X850 PRO,73,0
1999,RADEON X800 PRO/GTO,73,0
2000,RADEON X700,73,0
2001,Mobility Radeon HD 4300 Serisi,73,0
2002,M880G with Mobility Radeon HD 4225,72,0
2003,GeForce 8200M G,72,0
2004,Intel G41 Express Chipset v2,72,0
2005,FireGL V7100,72,0
2006,MEDION RADEON 9800 XXL,72,0
2007,GeForce 9300 GS,71,0
2008,RADEON X700 SE,71,0
2009,Radeon X1650 SE,71,0
2010,FireGL V3300,71,0
2011,Radeon X550XTX,71,0
2012,IncrediblE Q45/Q43 Express Chipset,70,0
2013,Diamond X1300-PCIE 256MB,70,0
2014,BASICDISPLAY,70,0
2015,FireGL V3350,69,0
2016,RADEON X800 XL,69,0
2017,GeForce Go 6600,69,0
2018,u0411u0430u0437u043eu0432u044bu0439 u0432u0438u0434u0435u043eu0430u0434u0430u043fu0442u0435u0440,69,0
2019,Quadro FX 3000,69,0
2020,Radeon X1600 Pro / X1300XT,69,0
2021,GeForce 8400 SE,68,0
2022,Intel B43 Express Chipset,68,0
2023,Matrox G200eR WDDM 2.0,68,0
2024,Intel G45/G43/G41 Express Chipset,68,0
2025,GeForce 9400M G,67,0
2026,GeForce G 105M,67,0
2027,GeForce 9300 GE,67,0
2028,Radeon X1550,67,0
2029,MOBILITY RADEON X700,67,0
2030,256MB RADEON X600,67,0
2031,Intel G45/G43 Express Chipset,67,0
2032,GeForce 8300 GS,67,0
2033,Quadro NVS 135M,67,0
2034,PHDGD Quebec 4.0 for Intel Q45/Q43 Express Chipset,67,0
2035,Intel Infoshock G41 Express Chipset,67,0
